,genre,duration_ms,danceability,energy,key,age,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,cluster
0,singer-songwriter,234273.96184593023,0.5313029069767441,0.4167959883720931,5.039607558139535,42.1055471487734,-12.790649709302324,0.04959805595930232,0.5258701518913517,0.04268376563045057,0.21212612645348836,0.5082259811046511,117.98755050872089,3.8611918604651163,3
1,german metal,270742.3034090909,0.42250681818181823,0.8126876136363638,5.723863636363636,27.252683686176827,-7.405195454545455,0.0726969318181818,0.044797129250000005,0.14667523755681822,0.2665854545454545,0.37378386363636357,125.94985000000004,3.9465909090909093,4
2,anime,241981.625158831,0.4726492376111818,0.7064730622617534,4.959339263024142,16.03917425284155,-7.272573697585771,0.0630928208386277,0.2624100636404066,0.16980954474587043,0.20026937738246509,0.470637293519695,127.50514612452353,3.928843710292249,7
3,french classical piano,190929.92287234042,0.3772816489361703,0.0875203404255319,5.348404255319149,61.99244389390849,-25.96260372340426,0.05210851063829788,0.9852420212765955,0.8371861498670214,0.12126143617021276,0.23552925531914892,103.59113829787233,3.6808510638297873,0
4,poetry,151074.61475409835,0.673561475409836,0.12791639344262293,6.881147540983607,67.89623849090502,-21.130204918032785,0.7353754098360656,0.8849180327868852,0.016971084713114752,0.21200409836065573,0.3850959016393443,100.58354098360657,3.4836065573770494,1
5,hungarian hip hop,220718.72235872236,0.7391965601965602,0.6931737100737102,5.941031941031941,7.439534179260206,-6.363523341523341,0.2188056511056511,0.2838452948402948,0.005297855773955773,0.19579828009828013,0.6003326781326781,109.04619164619166,3.98034398034398,6
6,swedish hip hop,205369.56089193825,0.7183499142367067,0.6584476843910806,5.518010291595197,6.85365257642332,-7.342169811320754,0.1991351629502573,0.24050125728987992,0.0022691632933104634,0.18149073756432246,0.5979274442538591,114.47530531732419,4.005145797598628,6
7,vlaamse kinderliedje,220689.91544117648,0.7076433823529411,0.7297680147058823,4.580882352941177,21.046927880741336,-8.013669117647058,0.07035441176470589,0.2507016106617647,0.013931875808823527,0.21686948529411762,0.7451761029411763,126.85789705882355,3.911764705882353,3
8,australian hip hop,213369.70984455958,0.7110051813471502,0.7217357512953368,5.419689119170984,7.982184683086095,-6.1524404145077725,0.14964507772020727,0.21039393782383414,0.006556340466321242,0.19620000000000004,0.5949999999999999,116.01502072538862,3.9792746113989637,6
9,classic bhangra,391619.56842105265,0.6479789473684211,0.7549715789473687,5.8,22.960288392213414,-8.394884210526316,0.09356105263157893,0.2578906105263158,0.030146234631578946,0.2759094736842105,0.7892842105263158,118.37023157894737,3.9789473684210526,6
10,chunchaca,209022.6403508772,0.7204473684210526,0.6218333333333333,4.7105263157894735,26.88877673636145,-9.1854649122807,0.06352017543859648,0.2953157894736842,0.08360240263157895,0.16322280701754385,0.8399824561403509,118.09824561403508,3.991228070175439,3
11,swedish black metal,304179.48780487804,0.28468536585365856,0.8526829268292682,6.146341463414634,31.490878717006346,-8.33760975609756,0.08215609756097561,0.04681875780487805,0.5726672634146343,0.24529024390243903,0.18639756097560975,124.20848780487806,4.0,5
12,"""[canadian country",250129.0,0.4463333333333333,0.31766666666666665,4.833333333333333,22.653881278538815,-11.396499999999998,0.03465,0.54055,3.8228333333333335e-05,0.15081666666666668,0.24915,124.77066666666667,3.8333333333333335,2
13,basshall,182056.01694915254,0.7526610169491528,0.6815847457627119,5.432203389830509,4.0693986533550035,-5.7809152542372875,0.16697711864406778,0.16484206779661018,0.00879814838983051,0.1665720338983051,0.5942457627118645,116.20691525423733,4.016949152542373,6
14,south african country,214330.07954545456,0.6258068181818182,0.6181818181818183,5.375,20.052334993773353,-8.958943181818183,0.04653522727272727,0.31590832954545456,0.0025883623863636363,0.17485795454545455,0.6334886363636364,125.22902272727273,3.8636363636363638,3
15,japanese pop rap,209387.6923076923,0.726974358974359,0.6552307692307692,5.794871794871795,2.552581664910432,-6.0452564102564095,0.09466410256410256,0.36401051282051283,0.005360793076923077,0.11941794871794872,0.6968205128205128,119.16197435897436,4.0,6
16,roots worship,266953.11392405065,0.4509620253164556,0.4136822784810127,4.6455696202531644,16.938685625108374,-10.744987341772152,0.033,0.4823650632911392,0.007914906962025315,0.2030354430379747,0.3376151898734177,111.4619493670886,3.7468354430379747,2
17,persian traditional,346456.21875,0.433496875,0.3343,5.65625,37.35539383561644,-12.244093750000001,0.047428125,0.787596875,0.1993489775,0.165003125,0.371896875,105.92559374999998,3.59375,0
18,croatian indie,234518.34782608695,0.6041304347826089,0.7529565217391305,5.391304347826087,36.68719475878499,-8.135913043478261,0.07259999999999998,0.12333217391304348,0.011111302608695653,0.17163043478260867,0.7255652173913043,126.95952173913041,3.869565217391304,6
19,tamaulipas indie,230023.66666666666,0.5213333333333333,0.7477777777777778,7.0,15.024961948249619,-5.265333333333333,0.03712222222222222,0.09111711111111112,0.0013490988888888887,0.22899999999999998,0.6454444444444446,125.21100000000001,3.888888888888889,6
20,musica mapuche,221796.45454545456,0.6002727272727273,0.5146818181818182,5.7272727272727275,7.791282689912828,-8.56209090909091,0.07992727272727274,0.6561818181818181,0.00017355454545454546,0.1285,0.5291818181818182,131.417,3.5454545454545454,2
21,didgeridoo,202125.03846153847,0.5784615384615385,0.8682307692307693,7.3076923076923075,12.185879873551105,-8.7055,0.057561538461538456,0.03000983846153846,0.3275452846153846,0.31992307692307687,0.4534384615384615,119.1655,3.3846153846153846,7
