,year,min_acousticness,max_acousticness,avg_acousticness,wavg_acousticness,min_danceability,max_danceability,avg_danceability,wavg_danceability,min_duration_ms,max_duration_ms,avg_duration_ms,wavg_duration_ms,min_energy,max_energy,avg_energy,wavg_energy,min_instrumentalness,max_instrumentalness,avg_instrumentalness,wavg_instrumentalness,min_key,max_key,avg_key,wavg_key,min_liveness,max_liveness,avg_liveness,wavg_liveness,min_loudness,max_loudness,avg_loudness,wavg_loudness,min_mode,max_mode,avg_mode,wavg_mode,min_speechiness,max_speechiness,avg_speechiness,wavg_speechiness,min_tempo,max_tempo,avg_tempo,wavg_tempo,min_time_signature,max_time_signature,avg_time_signature,wavg_time_signature,min_valence,max_valence,avg_valence,wavg_valence
10,1927,0.000235,0.996,0.9054296001683507,1.3755119757033276,0.0682,0.919,0.6539235690235701,0.9934286445012798,85226,669120,170649.29713804714,259247.2698209718,0.0142,0.921,0.28175462962962944,0.4280364450127878,0.0,0.98,0.2660942216582494,0.4042454415984653,0,11,4.551346801346801,6.914322250639454,0.0421,0.912,0.1834481481481481,0.278691048593351,-34.482,-2.661,-15.220560606060593,-23.12279539641941,0,1,0.7441077441077442,1.1304347826086827,0.0244,0.965,0.36992744107744113,0.5619869565217385,44.299,218.51,111.22826599326586,168.97593350383636,1,5,3.742424242424242,5.685421994884845,0.0367,0.974,0.6848996632996629,1.0404869565217383
11,1955,3.11e-06,0.996,0.864469445440063,0.12604293913989947,0.0,0.928,0.49266727861771054,0.07183276649346582,27960,3192027,225266.6398488121,32844.73445126747,0.00384,0.997,0.2913149946004319,0.042474836246260333,0.0,0.983,0.24573993325054047,0.035829818641158855,0,11,5.166306695464363,0.7532672020154165,0.0206,0.985,0.2284714362850981,0.033312005983309696,-36.524,-2.216,-14.106574244060464,-2.0567922768068065,0,1,0.6768358531317494,0.09868524641788112,0.0,0.965,0.10652556695464344,0.015531833569516644,0.0,209.878,110.79017764578825,16.153630058258557,0,5,3.79292656587473,0.5530231459612426,0.0,0.987,0.48804341252699807,0.07115858919855145
12,2006,0.0,0.995,0.3107454209841095,0.008245414199829522,0.0,0.973,0.5925512485811587,0.015722936362842357,6373,4368000,239542.81906923951,6356.102547112698,0.00453,0.999,0.6554228660612913,0.017391191122301728,0.0,0.978,0.04885735201702611,0.0012963959462748036,0,11,5.267423382519864,0.1397674257506283,0.0,0.996,0.20884261861521058,0.0055414940230044275,-36.703,1.585,-7.367045289443818,-0.19547943666553255,0,1,0.638933030646992,0.01695364477761866,0.0,0.962,0.07896054483541413,0.002095163286880725,0.0,217.416,121.70378762769585,3.229325585878084,0,5,3.9348467650397274,0.10440842953649017,0.0,0.994,0.5669544154370033,0.01504374215039319
13,1978,0.0,0.996,0.44794981963815766,0.018281562199186946,0.0,0.956,0.532304887218045,0.02172422998734221,31265,3441840,236697.52271303258,9660.011666858429,0.0,0.997,0.5272676519423565,0.021518652206154877,0.0,0.982,0.08747899832550136,0.0035701604932044527,0,11,5.18530701754386,0.2116208302967539,0.0116,0.992,0.2249290413533834,0.009179720762533072,-53.986,-0.926,-11.149395363408527,-0.45502499584468054,0,1,0.6849937343358395,0.027955710687484554,0.0,0.965,0.0925575971177946,0.003777426386917774,0.0,211.754,118.763319548872,4.846924628898019,0,5,3.867481203007519,0.15783821103910534,0.0,1.0,0.5922277412280705,0.024169779320573223
14,1925,0.0,0.996,0.9120581509846838,0.6527965152701638,0.0,0.934,0.61602625820569,0.4409146436961626,3344,1335000,189618.1772428884,135717.31714956937,0.0,0.867,0.2630206783369804,0.188254424432263,0.0,0.98,0.276829392199125,0.19813787350822235,0,11,5.070021881838074,3.6288175411119896,0.0,0.955,0.2554599562363236,0.18284291307752534,-60.0,-2.937,-15.004440919037211,-10.739278778386836,0,1,0.7636761487964989,0.5465935787000812,0.0,0.969,0.3081784463894969,0.22057564604541896,0.0,212.162,113.55652078774611,81.27694596711041,0,5,3.7582056892778994,2.6898981989037227,0.0,0.97,0.633016192560176,0.45307501957713403
15,1961,0.000754,0.996,0.7772017753276462,0.06123400206516766,0.0,0.922,0.4960626794258373,0.03908367698157733,30760,2445107,223950.39400873726,17644.5542516226,0.000978,0.98,0.35054542292490165,0.027618695469743604,0.0,0.98,0.2333816783503223,0.018387624202288098,0,11,4.894736842105263,0.38564544679734397,0.0165,0.982,0.20955350530476285,0.016510255359601368,-47.013,-1.787,-13.49772165591847,-1.0634555169474857,0,1,0.6898273351362596,0.05434996394152238,0.0,0.965,0.06902644060744755,0.0054384399790205215,0.0,218.431,112.8236234657788,8.889122762735207,0,5,3.7776159767006448,0.2976299744312606,0.0,0.99,0.5445130434782611,0.04290097357896811
16,2013,1.15e-06,0.996,0.276477929882677,0.007528495640545364,0.0,0.979,0.5919901788248669,0.01611989601636525,29002,5403500,238440.4546314694,6492.734967975329,2.02e-05,1.0,0.6725199336550288,0.01831272170928904,0.0,0.998,0.10518961396726266,0.0028643138008131066,0,11,5.313463903869808,0.14468565304094474,0.0147,0.99,0.20653719367962947,0.005624008986494485,-32.703,1.259,-7.198356135869053,-0.19601127949337616,0,1,0.6120730438073612,0.01666675254677403,0.0,0.958,0.08229172107105709,0.002240804043922518,0.0,213.87,122.6372537609984,3.3394131339884137,0,5,3.930078531554546,0.10701606129778447,0.0,0.991,0.5209273431734351,0.014184854587801183
17,1942,0.00502,0.996,0.9449840615835768,0.7097787775330427,0.071,0.899,0.45988577712609907,0.34542081497797317,17867,2187828,234734.49340175954,176309.38821585942,0.00581,0.999,0.23816587243401738,0.1788867015418502,0.0,0.979,0.4442768632111435,0.3336969391079294,0,11,5.180351906158358,3.8909691629955505,0.0281,0.958,0.20337558651026383,0.15275567180616742,-38.545,0.214,-14.39587976539588,-10.812764317180616,0,1,0.749266862170088,0.5627753303964638,0.0257,0.885,0.08689134897360694,0.0652642070484581,35.734,213.49,105.67935263929603,79.37590143171793,1,5,3.7947214076246336,2.850220264317111,0.0294,0.972,0.46865923753665645,0.3520105726872246
18,1939,0.00021,0.996,0.9213065268352856,0.29655239872914985,0.0,0.891,0.5261707587908698,0.16936513105639409,18227,3615539,219547.37446020974,70668.44598888,0.012,0.97,0.30583164713140004,0.09844183876092133,0.0,0.993,0.31367720397285614,0.1009671857903098,0,11,5.27143738433066,1.6967831612390953,0.0319,0.948,0.2346376927822333,0.07552575456711684,-32.814,-1.593,-12.353209130166574,-3.976281175536132,0,1,0.7131400370141888,0.2295472597299466,0.0,0.967,0.12011264651449707,0.038662152501985646,0.0,215.275,114.13783960518182,36.738967037331186,0,5,3.8297347316471315,1.2327243844321014,0.0,0.983,0.5737840838988284,0.18469102462271633
19,1944,0.00582,0.996,0.9216793883357023,0.5120036428289204,0.0574,0.859,0.5168733285917486,0.2871291584354011,18360,3091373,228760.38549075392,127079.06045041505,0.000179,0.947,0.26120983570412465,0.14510510825760584,0.0,0.97,0.4220389885348501,0.2344475771947848,0,11,5.61379800853485,3.118530225207453,0.0309,0.97,0.2216751066856333,0.12314310549190054,-47.416,1.83,-13.484932432432451,-7.491037139470574,0,1,0.6507823613086771,0.36151718688265955,0.0258,0.962,0.1433494310099575,0.07963227973133144,44.467,216.001,105.98143456614515,58.873922165151974,1,5,3.728307254623044,2.0711181351244727,0.0316,0.974,0.5629231152204841,0.31271035163966737
